tour,player,elo,peak_elo,matches,wins,losses,last_date
ATP,Mikrut L.,1482.45,1500.0,1,0,1,2024-07-21
ATP,Klizan M.,1482.45,1500.0,1,0,1,2025-04-01
ATP,Zahraj P.,1482.43,1500.0,1,0,1,2025-07-16
ATP,Boitan G.A.,1482.43,1500.0,1,0,1,
ATP,Vavassori A.,1482.24,1528.68,12,5,7,
ATP,Virtanen O.,1482.14,1519.99,22,8,14,
ATP,Bennani R.,1482.13,1500.0,1,0,1,
ATP,Ramanathan R.,1482.11,1500.0,1,0,1,2024-10-03
ATP,Kirchheimer S.,1482.05,1500.0,1,0,1,2024-08-19
ATP,Fanselow S.,1482.0,1500.0,1,0,1,2024-05-21
ATP,Vatutin A.,1481.77,1500.0,1,0,1,2024-10-15
ATP,Clarke J.,1481.42,1500.0,1,0,1,2025-07-01
ATP,Collarini A.,1481.37,1500.0,1,0,1,2024-07-22
ATP,Midon L.,1481.26,1500.0,3,1,2,
ATP,Basing M.,1481.26,1500.0,1,0,1,
ATP,Mayo A.,1481.17,1500.0,1,0,1,
ATP,Piros Z.,1481.1,1500.0,1,0,1,2025-08-24
ATP,Mejia N.,1481.06,1500.0,6,2,4,
ATP,Brancaccio R.,1481.01,1500.0,1,0,1,
ATP,Etcheverry T. M.,1480.99,1500.0,1,0,1,2025-10-28
ATP,Dostanic S.,1480.89,1513.24,3,1,2,2025-08-24
ATP,Paire B.,1480.59,1514.5,5,2,3,2024-07-18
ATP,Magadan A.,1480.22,1500.0,1,0,1,2025-07-16
ATP,Feldbausch K.,1480.21,1515.14,3,1,2,
ATP,Pinnington Jones J.,1480.14,1532.87,11,4,7,
ATP,Safiullin R.,1480.12,1548.0,70,26,44,
ATP,Bailly G.,1480.08,1500.0,1,0,1,2024-10-16
ATP,Forbes M.,1480.07,1500.0,1,0,1,2024-08-27
ATP,Jianu F.C.,1479.85,1515.83,3,1,2,
ATP,Ferreira Silva F.,1479.85,1500.0,1,0,1,
ATP,Djuric B.,1479.1,1500.0,1,0,1,2024-11-04
ATP,Tabur C.,1478.97,1510.07,8,3,5,
ATP,Gerasimov E.,1478.87,1500.0,1,0,1,2024-10-02
ATP,Pouille L.,1478.86,1500.0,8,3,5,2025-01-28
ATP,Guillen Meza A.,1478.56,1500.0,1,0,1,2025-07-21
ATP,Schwaerzler J.,1478.55,1500.0,2,0,2,2024-10-21
ATP,Prado Angelo J.C.,1478.13,1515.02,3,1,2,
ATP,McCabe J.,1477.79,1500.0,4,1,3,2026-11-06
ATP,Pavlovic L.,1477.64,1500.0,2,0,2,
ATP,Guinard M.,1477.59,1500.0,4,1,3,2025-02-11
ATP,Zhou Y.,1476.99,1516.0,8,3,5,2025-10-02
ATP,Blanch Dar.,1476.55,1510.34,6,2,4,
ATP,Pospisil V.,1476.17,1500.0,2,0,2,2025-07-28
ATP,Gill F.,1476.17,1500.0,2,0,2,
ATP,Stricker D.,1476.03,1500.13,16,6,10,
ATP,Ajdukovic D.,1475.93,1520.64,8,3,5,2024-11-06
ATP,Squire H.,1475.9,1513.42,4,1,3,2024-06-18
ATP,Monfils G.,1475.81,1709.62,90,47,43,
ATP,Napolitano S.,1475.44,1529.13,5,2,3,2024-07-16
ATP,Herbert P.H.,1475.05,1500.0,4,1,3,2024-11-06
ATP,Kubler J.,1474.86,1516.0,4,1,3,
ATP,Purcell M.,1474.85,1502.72,34,14,20,2024-08-29
ATP,Martin A.,1474.8,1500.0,2,0,2,
ATP,Seyboth Wild T.,1474.42,1547.32,57,26,31,2026-10-02
ATP,Trotter J.K.,1473.55,1500.0,2,0,2,2025-10-02
ATP,Borg L.,1472.9,1500.0,4,1,3,2025-10-15
ATP,Gaubas V.,1470.6,1560.45,15,6,9,
ATP,Misolic F.,1470.53,1541.06,21,9,12,
ATP,Blanch D.,1470.11,1500.0,2,0,2,2024-04-25
ATP,Poljicak M.,1470.02,1500.0,2,0,2,2025-07-22
ATP,Kudla D.,1469.8,1516.0,4,1,3,2024-04-02
ATP,Kouame M.,1469.38,1504.43,9,3,6,
ATP,Barrena A.,1469.15,1500.0,2,0,2,
ATP,Moro Canas A.,1469.11,1514.38,4,1,3,2024-12-31
ATP,Escobedo E.,1468.89,1500.0,2,0,2,2024-02-27
ATP,Cassone M.,1468.85,1500.0,2,0,2,
ATP,Jasika O.,1468.58,1500.0,2,0,2,2025-01-12
ATP,Benchetrit E.,1468.17,1500.0,2,0,2,2025-04-01
ATP,Broom C.,1467.77,1500.0,2,0,2,2024-07-01
ATP,Sweeny D.,1467.7,1500.0,5,1,4,
ATP,Maestrelli F.,1467.2,1500.0,5,1,4,
ATP,Loffhagen G.,1466.98,1500.0,2,0,2,2025-07-01
ATP,Zhukayev B.,1466.83,1521.23,7,2,5,2025-10-15
ATP,Gomez F.,1466.8,1500.0,4,1,3,2024-12-31
ATP,Ritschard A.,1466.38,1500.0,2,0,2,2025-03-31
ATP,Trungelliti M.,1466.32,1542.18,26,11,15,
ATP,Budkov Kjaer N.,1466.3,1514.17,10,3,7,
ATP,Gakhov I.,1466.14,1500.0,2,0,2,2025-05-19
ATP,Wendelken H.,1466.1,1500.0,2,0,2,
ATP,Dodig M.,1465.7,1516.0,4,1,3,
ATP,Sun F.,1465.64,1500.0,2,0,2,2025-09-18
ATP,Boyer T.,1464.11,1511.36,17,6,11,
ATP,Echargui M.,1463.98,1500.0,3,0,3,
ATP,Comesana F.,1463.79,1554.88,71,29,42,
ATP,Ymer M.,1463.69,1500.0,2,0,2,2025-10-14
ATP,Nava E.,1463.3,1500.0,35,12,23,
ATP,Galarneau A.,1462.73,1517.78,5,1,4,2026-09-06
ATP,Sakamoto R.,1460.59,1500.0,6,1,5,
ATP,Bellucci M.,1458.89,1543.94,65,26,39,
ATP,Mochizuki S.,1458.72,1500.0,23,7,16,
ATP,Dzumhur D.,1458.68,1516.11,75,29,46,
ATP,Kukushkin M.,1458.45,1516.62,7,2,5,2025-01-29
ATP,Garin C.,1458.16,1547.66,37,15,22,
ATP,Hijikata R.,1458.08,1532.0,86,33,53,
ATP,Koepfer D.,1457.6,1549.94,34,14,20,2025-01-29
ATP,Jacquet K.,1457.41,1506.61,13,4,9,
ATP,Polmans M.,1456.66,1500.0,3,0,3,
ATP,Svajda T.,1456.41,1500.0,3,0,3,
ATP,Moreno De Alboran N.,1454.11,1503.87,16,6,10,2025-05-08
ATP,Huesler M.A.,1454.08,1530.81,9,3,6,2024-12-31
ATP,Blanchet U.,1454.03,1500.46,13,4,9,2026-05-02
ATP,Schwaerzler J.J.,1453.83,1500.0,3,0,3,
ATP,Mpetshi G.,1453.77,1629.21,96,43,53,
ATP,Smith C.,1453.45,1531.2,10,3,7,
ATP,Neumayer L.,1453.02,1514.47,5,1,4,
ATP,Rocha H.,1453.0,1526.42,9,3,6,
ATP,Searle H.,1452.85,1500.0,3,0,3,2025-06-30
ATP,Duckworth J.,1452.72,1546.1,63,23,40,
ATP,Dedura D.,1452.09,1500.0,4,0,4,
ATP,Shimabukuro S.,1451.79,1520.84,15,5,10,
