tour,player,elo,peak_elo,matches,wins,losses,last_date
WTA,Bolkvadze M.,1464.64,1500.0,3,0,3,2025-06-10
WTA,Baindl K.,1464.58,1524.49,33,13,20,
WTA,Rosatello C.,1464.39,1503.06,9,3,6,
WTA,Waltert S.,1464.35,1506.04,20,8,12,
WTA,Rouvroy M.,1463.84,1500.0,2,0,2,2025-07-15
WTA,Ozgen P.,1463.08,1500.0,2,0,2,
WTA,Ma Y.,1462.89,1503.62,5,1,4,
WTA,El Allami M.,1462.12,1500.0,2,0,2,
WTA,Puig M.,1461.95,1500.0,3,0,3,
WTA,Yuan Y.,1461.81,1622.63,104,46,58,
WTA,Nahimana S.,1461.47,1515.1,4,1,3,
WTA,Jimenez V.,1461.17,1503.43,7,2,5,
WTA,Maleckova J.,1461.16,1500.0,3,0,3,
WTA,Okamura K.,1461.03,1515.8,5,1,4,
WTA,Lapko V.,1460.94,1516.0,9,3,6,
WTA,Krunic A.,1460.89,1511.36,39,14,25,
WTA,Gao X.,1460.62,1516.0,5,1,4,2025-07-21
WTA,Parks A.,1460.46,1557.4,98,37,61,
WTA,Bandecchi S.,1460.36,1500.0,5,1,4,
WTA,Starodubtseva Y.,1460.31,1558.6,41,16,25,2025-10-27
WTA,Di Sarra F.,1459.93,1500.0,2,0,2,
WTA,Vikhlyantseva N.,1459.44,1500.0,10,3,7,
WTA,Tan H.,1459.18,1514.43,35,13,22,
WTA,Arruabarrena L.,1458.79,1514.58,7,2,5,
WTA,Nugroho P.,1458.57,1500.0,2,0,2,2024-10-28
WTA,Brengle M.,1457.56,1532.0,73,25,48,
WTA,Lisicki S.,1457.48,1500.0,7,2,5,
WTA,Wang Yaf.,1457.13,1544.39,9,3,6,
WTA,Sherif M.,1456.9,1531.83,107,35,72,
WTA,Lu J.,1456.65,1500.0,2,0,2,2024-10-29
WTA,Naklo T.,1456.51,1500.0,3,0,3,2025-10-29
WTA,Glushko L.,1456.33,1515.43,5,1,4,
WTA,Saigo R.,1456.19,1500.0,3,0,3,
WTA,Kovinic D.,1456.07,1576.76,82,35,47,
WTA,Montgomery R.,1455.68,1510.75,35,13,22,
WTA,El Aouni A.,1455.3,1500.0,3,0,3,
WTA,Han N.L.,1454.96,1500.0,8,2,6,
WTA,Back D.,1453.36,1517.96,5,1,4,
WTA,Todoni A.,1453.25,1501.21,14,4,10,2025-06-30
WTA,Kuzmova V.,1453.18,1516.71,33,12,21,
WTA,Minnen G.,1453.04,1508.28,108,39,69,
WTA,Andrianjafitrimo T.,1452.83,1500.0,3,0,3,
WTA,Marino R.,1452.82,1541.44,76,27,49,
WTA,Monnet C.,1452.45,1516.0,6,1,5,
WTA,Falei A.,1451.69,1500.0,3,0,3,2025-10-27
WTA,Jamrichova R.,1450.65,1500.0,3,0,3,2025-02-25
WTA,Jani R.L.,1450.38,1500.0,11,3,8,
WTA,Palicova B.,1450.07,1500.0,5,1,4,
WTA,Betova M.,1450.07,1500.0,3,0,3,
WTA,Bulgaru M.,1450.01,1500.0,7,2,5,
WTA,Semenistaja D.,1449.94,1516.0,5,1,4,
WTA,Jacquemot E.,1449.5,1543.16,34,12,22,
WTA,Fossa Huergo N.,1449.18,1500.0,3,0,3,2025-09-08
WTA,Jorovic I.,1448.95,1520.95,6,1,5,
WTA,Parmentier P.,1448.61,1500.0,4,0,4,
WTA,Cengiz B.,1448.47,1500.0,5,1,4,2025-09-11
WTA,Khromacheva I.,1448.37,1500.0,3,0,3,
WTA,Guo H.,1448.31,1500.0,9,2,7,
WTA,Lee G.,1446.76,1500.0,6,1,5,
WTA,Serban R.,1446.66,1500.0,5,1,4,
WTA,Hatouka Y.,1446.56,1500.0,6,1,5,
WTA,Szabanin N.,1446.09,1500.0,3,0,3,
WTA,Jimenez Kasintseva V.,1446.08,1500.97,14,4,10,2025-10-27
WTA,Niculescu M.,1445.83,1500.0,5,0,5,
WTA,Gibson T.,1445.67,1500.0,10,2,8,
WTA,Zhao C.,1443.9,1500.0,14,4,10,
WTA,Aiava D.,1443.69,1514.53,10,2,8,
WTA,Mrdeza T.,1443.32,1500.0,4,0,4,
WTA,Bonaventure Y.,1443.07,1531.26,39,15,24,
WTA,Schunk N.,1442.58,1515.8,8,1,7,
WTA,Grammatikopoulou V.,1442.52,1500.0,7,1,6,
WTA,Buyukakcay C.,1442.28,1500.0,7,1,6,
WTA,Alves C.,1441.72,1500.0,6,1,5,
WTA,Strycova B.,1441.64,1517.4,25,7,18,
WTA,Savinykh V.,1441.55,1500.83,11,3,8,
WTA,Sanchez A.S.,1441.17,1500.0,4,0,4,
WTA,Oz I.,1440.46,1516.0,7,1,6,
WTA,Ngounoue C.,1439.56,1500.0,8,1,7,
WTA,Shibahara E.,1439.33,1511.16,17,5,12,
WTA,Mladenovic K.,1439.25,1556.24,69,24,45,
WTA,Vickery S.,1439.19,1516.0,22,7,15,
WTA,Stefanini L.,1438.25,1518.58,40,14,26,
WTA,Pigossi L.,1437.66,1576.6,31,13,18,
WTA,Eala A.,1436.76,1568.26,40,14,26,
WTA,Radwanska U.,1436.52,1500.0,4,0,4,
WTA,Contreras Gomez F.,1436.46,1500.0,11,2,9,
WTA,Rakhimova K.,1436.32,1550.41,120,47,73,
WTA,Von Deichmann K.,1435.71,1515.26,8,2,6,
WTA,Gorgodze E.,1435.51,1503.22,13,3,10,
WTA,Jang S.,1435.5,1500.86,9,2,7,
WTA,Mandlik E.,1435.27,1522.28,22,7,15,
WTA,Preston T.,1435.24,1500.0,8,1,7,2024-09-16
WTA,Fruhvirtova B.,1433.88,1522.25,18,5,13,
WTA,Kraus S.,1433.86,1504.64,9,2,7,
WTA,Melnikova M.,1433.76,1516.0,7,1,6,
WTA,Flipkens K.,1433.19,1516.0,27,8,19,
WTA,Bondar A.,1433.13,1578.12,106,44,62,
WTA,Jones F.,1432.83,1525.53,36,14,22,
WTA,Loeb J.,1432.34,1500.0,6,0,6,
WTA,Haas B.,1431.34,1500.74,6,1,5,
WTA,Stojanovic N.,1431.12,1532.61,36,12,24,
WTA,Hsieh S.W.,1431.1,1522.39,32,10,22,
WTA,Scott K.,1431.03,1516.0,7,1,6,
WTA,Papamichail D.,1430.23,1505.23,15,4,11,
WTA,Clijsters K.,1429.54,1500.0,5,0,5,
WTA,Prozorova T.,1429.22,1500.0,9,1,8,
WTA,Hercog P.,1428.12,1502.86,33,10,23,
WTA,Arconada U.M.,1428.0,1500.0,5,0,5,
WTA,Gadecki O.,1427.09,1500.0,32,9,23,
WTA,Van Uytvanck A.,1426.64,1606.33,78,33,45,
WTA,Kalieva E.,1426.59,1500.0,5,0,5,
WTA,Ahn K.,1426.16,1500.0,11,2,9,
WTA,Bara I.,1426.03,1530.56,32,11,21,
WTA,Wang Y.,1425.99,1534.55,56,21,35,
WTA,Bai Z.,1425.51,1522.4,21,7,14,
WTA,Carle M.,1425.01,1500.0,32,10,22,
WTA,Bondarenko K.,1423.87,1531.95,17,6,11,
WTA,Andreeva E.,1423.07,1513.45,49,16,33,
WTA,Sanders S.,1422.78,1516.0,28,7,21,
WTA,Govortsova O.,1422.46,1531.26,11,3,8,
WTA,Wei S.,1421.44,1517.01,13,3,10,
WTA,You X.,1421.18,1515.2,10,2,8,
WTA,Minella M.,1421.11,1500.0,10,2,8,
WTA,Tikhonova A.,1421.11,1500.0,5,0,5,
WTA,Muhammad A.,1420.54,1500.97,11,2,9,
WTA,Gatto-Monticone G.,1420.15,1500.0,11,2,9,
WTA,Mchale C.,1419.16,1500.0,33,8,25,
WTA,Dodin O.,1419.0,1521.18,63,22,41,
WTA,Rus A.,1418.51,1533.97,128,48,80,
WTA,Di Lorenzo F.,1417.5,1500.0,11,2,9,
WTA,Tomova V.,1417.42,1513.63,132,46,86,
WTA,Fett J.,1417.07,1500.0,29,9,20,
WTA,Lepchenko V.,1416.17,1500.15,20,6,14,
WTA,Danilina A.,1415.56,1500.0,6,0,6,
WTA,Eikeri U.,1415.26,1500.0,11,2,9,
WTA,Pliskova Kr.,1414.95,1540.5,34,12,22,
WTA,Zakharova A.,1414.19,1538.21,33,11,22,
WTA,Brancaccio N.,1413.59,1530.61,13,3,10,
WTA,Hon P.,1412.38,1500.0,30,8,22,
WTA,Liang E.S.,1411.44,1515.23,11,2,9,
WTA,Inglis M.,1409.28,1500.0,28,7,21,
WTA,Osuigwe W.,1408.6,1500.0,9,1,8,
WTA,Bolsova A.,1407.79,1516.0,23,6,17,
WTA,Bektas E.,1405.55,1532.72,27,8,19,
WTA,Rodionova Ar.,1404.49,1500.0,29,9,20,
WTA,Ferro F.,1402.62,1610.18,62,26,36,
WTA,Barthel M.,1399.9,1500.0,16,3,13,
WTA,Fourlis J.,1399.7,1500.0,10,1,9,
WTA,Raina A.,1399.61,1500.0,14,3,11,
WTA,Jeanjean L.,1399.05,1500.0,36,10,26,
WTA,Kudermetova P.,1398.04,1643.86,49,19,30,
WTA,In-Albon Y.,1397.94,1500.0,8,0,8,
WTA,Cabrera L.,1397.41,1515.17,15,3,12,
WTA,Shvedova Y.,1397.25,1500.0,11,1,10,
WTA,Ponchet J.,1397.01,1500.31,24,7,17,
WTA,Buzarnescu M.,1396.85,1500.0,19,4,15,
WTA,Chirico L.,1395.27,1502.91,17,3,14,
WTA,Perez E.,1393.84,1500.0,9,0,9,
WTA,Hartono A.,1391.1,1523.13,24,7,17,
WTA,Parrizas Diaz N.,1388.51,1552.02,97,38,59,
WTA,Udvardy P.,1383.84,1505.96,37,11,26,
WTA,Stosur S.,1383.48,1518.08,18,3,15,
WTA,Riske-Amritraj A.,1382.7,1500.0,11,0,11,
WTA,Volynets K.,1378.78,1527.53,98,34,64,
WTA,Diatchenko V.,1374.96,1500.0,18,3,15,
WTA,Errani S.,1371.55,1588.18,71,27,44,
WTA,Zavatska K.,1365.21,1500.0,20,3,17,
WTA,Day K.,1364.21,1500.0,18,3,15,
WTA,Williams V.,1362.44,1500.0,41,8,33,
WTA,Uchijima M.,1362.34,1571.33,69,21,48,
WTA,Bassols M.,1360.88,1500.0,15,1,14,
WTA,Doi M.,1360.56,1500.0,59,16,43,
WTA,Voegele S.,1352.69,1500.0,26,5,21,
WTA,Paquet C.,1344.31,1500.0,40,10,30,
WTA,Babos T.,1341.4,1500.0,25,4,21,
